date,avg_textblob_polarity,std_textblob_polarity,article_count,avg_custom_polarity,std_custom_polarity,total_positive_words,total_negative_words,avg_article_length,total_words,sentiment_intensity,sentiment_volatility,pos_neg_ratio
2020-02-02,0.092,0.084,4,0.25,0.5,2,0,284.0,162,0.092,0.084,2.0
2020-02-03,0.2014,0.0,2,0.0,0.0,0,0,286.0,82,0.2014,0.0,0.0
2020-02-05,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-02-06,0.3174,0.164,2,0.5,0.7071,2,0,291.5,84,0.3174,0.164,2.0
2020-02-08,0.1906,,1,0.0,,0,0,291.0,42,0.1906,,0.0
2020-02-10,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-02-13,0.05,0.0707,2,0.0,0.0,0,0,282.0,78,0.05,0.0707,0.0
2020-02-14,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-02-16,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-02-19,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-02-21,0.25,0.2593,2,1.0,0.0,4,0,280.0,84,0.25,0.2593,4.0
2020-02-22,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-02-24,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-02-25,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-02-28,0.4333,,1,1.0,,3,0,291.0,42,0.4333,,3.0
2020-03-01,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-03-03,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-03-05,0.2,0.2028,3,0.6667,0.5774,5,0,278.3333,122,0.2,0.2028,5.0
2020-03-06,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-03-09,0.25,0.2593,2,1.0,0.0,5,0,280.0,82,0.25,0.2593,5.0
2020-03-12,0.25,0.2593,2,1.0,0.0,5,0,279.0,82,0.25,0.2593,5.0
2020-03-14,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-03-16,0.125,0.2079,4,0.5,0.5774,4,0,285.75,160,0.125,0.2079,4.0
2020-03-18,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-03-19,0.0969,0.0953,3,0.0,0.0,0,0,285.0,120,0.0969,0.0953,0.0
2020-03-20,0.0667,0.0,2,1.0,0.0,4,0,267.0,80,0.0667,0.0,4.0
2020-03-21,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-03-24,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-03-29,0.05,0.0707,2,0.0,0.0,0,0,282.0,78,0.05,0.0707,0.0
2020-03-30,0.156,0.2056,4,0.0833,0.1667,2,1,285.5,158,0.156,0.2056,2.0
2020-03-31,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-04-01,0.1889,0.2117,3,1.0,0.0,6,0,275.0,122,0.1889,0.2117,6.0
2020-04-02,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-04-05,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2020-04-08,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2020-04-09,0.1341,0.0953,2,0.5,0.7071,2,0,274.0,80,0.1341,0.0953,2.0
2020-04-10,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-04-11,0.4333,0.0,2,1.0,0.0,5,0,291.0,84,0.4333,0.0,5.0
2020-04-12,0.1507,0.0717,2,0.0,0.0,0,0,284.5,80,0.1507,0.0717,0.0
2020-04-14,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-04-16,0.1007,0.1424,2,0.0,0.0,0,0,290.5,80,0.1007,0.1424,0.0
2020-04-17,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-04-19,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-04-20,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-04-25,0.0667,0.0,2,1.0,0.0,4,0,264.0,80,0.0667,0.0,4.0
2020-04-27,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-04-28,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2020-04-29,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-05-02,0.2014,,1,0.0,,0,0,285.0,40,0.2014,,0.0
2020-05-03,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-05-04,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-05-06,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-05-08,0.0333,0.0471,2,0.5,0.7071,2,0,277.5,80,0.0333,0.0471,2.0
2020-05-09,0.2014,,1,0.0,,0,0,292.0,42,0.2014,,0.0
2020-05-10,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2020-05-11,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-05-13,0.1906,,1,0.0,,0,0,283.0,40,0.1906,,0.0
2020-05-15,0.3174,0.164,2,0.5,0.7071,2,0,289.5,82,0.3174,0.164,2.0
2020-05-16,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-05-17,0.05,0.0707,2,0.0,0.0,0,0,291.0,80,0.05,0.0707,0.0
2020-05-18,0.2014,,1,0.0,,0,0,282.0,40,0.2014,,0.0
2020-05-19,0.2667,0.2357,2,0.5,0.7071,2,0,286.5,82,0.2667,0.2357,2.0
2020-05-21,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-05-23,0.2167,0.3064,2,0.5,0.7071,2,0,288.5,80,0.2167,0.3064,2.0
2020-05-26,0.1007,0.1424,2,0.0,0.0,0,0,283.5,78,0.1007,0.1424,0.0
2020-05-27,0.2014,,1,0.0,,0,0,287.0,40,0.2014,,0.0
2020-05-29,0.0,0.0,2,0.0,0.0,0,0,295.0,80,0.0,0.0,0.0
2020-05-30,0.2,0.2028,3,0.4444,0.5092,4,1,280.3333,122,0.2,0.2028,4.0
2020-05-31,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-06-05,0.0667,0.0,2,1.0,0.0,4,0,267.0,82,0.0667,0.0,4.0
2020-06-06,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-06-11,0.0222,0.0385,3,0.3333,0.5774,2,0,278.6667,116,0.0222,0.0385,2.0
2020-06-12,0.2014,,1,0.0,,0,0,292.0,42,0.2014,,0.0
2020-06-14,0.2,0.2028,3,0.6667,0.5774,4,0,278.3333,122,0.2,0.2028,4.0
2020-06-16,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-06-17,0.2167,0.3064,2,0.5,0.7071,2,0,287.5,80,0.2167,0.3064,2.0
2020-06-18,0.2014,,1,0.0,,0,0,288.0,40,0.2014,,0.0
2020-06-19,0.0833,0.0236,2,0.5,0.7071,2,0,274.5,82,0.0833,0.0236,2.0
2020-06-20,0.1906,,1,0.0,,0,0,283.0,40,0.1906,,0.0
2020-06-21,0.0,0.0,2,0.0,0.0,0,0,295.0,80,0.0,0.0,0.0
2020-06-23,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-06-24,0.2889,0.2502,3,0.4444,0.5092,5,1,289.6667,122,0.2889,0.2502,5.0
2020-06-26,0.1341,0.0953,2,0.5,0.7071,2,0,276.0,80,0.1341,0.0953,2.0
2020-06-27,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-06-29,0.05,0.0707,2,0.0,0.0,0,0,285.0,80,0.05,0.0707,0.0
2020-07-03,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-07-06,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-07-07,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-07-08,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2020-07-09,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-07-12,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2020-07-13,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-07-15,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-07-16,0.2667,0.2357,2,0.5,0.7071,2,0,286.0,82,0.2667,0.2357,2.0
2020-07-17,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-07-18,0.0894,0.1026,3,0.3333,0.5774,2,0,284.6667,120,0.0894,0.1026,2.0
2020-07-19,0.1507,0.0717,2,0.0,0.0,0,0,279.5,80,0.1507,0.0717,0.0
2020-07-20,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-07-22,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2020-07-24,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-07-30,0.1565,0.0778,3,0.3333,0.5774,2,0,279.6667,122,0.1565,0.0778,2.0
2020-08-01,0.1341,0.0953,2,0.5,0.7071,2,0,276.0,82,0.1341,0.0953,2.0
2020-08-04,0.1507,0.0717,2,0.0,0.0,0,0,283.5,80,0.1507,0.0717,0.0
2020-08-05,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-08-07,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-08-08,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-08-09,0.25,0.2593,2,0.6667,0.4714,4,1,280.0,82,0.25,0.2593,4.0
2020-08-11,0.1227,0.0702,3,0.3333,0.5774,2,0,278.0,122,0.1227,0.0702,2.0
2020-08-13,0.2667,0.2357,2,0.5,0.7071,2,0,286.5,82,0.2667,0.2357,2.0
2020-08-14,0.4333,,1,1.0,,3,0,291.0,42,0.4333,,3.0
2020-08-15,0.4333,,1,1.0,,3,0,292.0,42,0.4333,,3.0
2020-08-16,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-08-21,0.2667,0.2357,2,0.1667,0.2357,2,1,287.0,82,0.2667,0.2357,2.0
2020-08-22,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-08-24,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-08-25,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-08-26,0.0556,0.0509,3,0.3333,0.5774,2,0,281.3333,120,0.0556,0.0509,2.0
2020-08-27,0.092,0.084,4,0.25,0.5,2,0,280.0,160,0.092,0.084,2.0
2020-09-02,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-09-03,0.2667,0.2357,2,0.1667,0.2357,2,1,287.0,82,0.2667,0.2357,2.0
2020-09-07,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-09-08,0.0667,0.0,2,1.0,0.0,4,0,266.0,80,0.0667,0.0,4.0
2020-09-11,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2020-09-14,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-09-16,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-09-17,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2020-09-21,0.1667,0.2333,3,0.6667,0.5774,5,0,280.3333,120,0.1667,0.2333,5.0
2020-09-22,0.4333,,1,1.0,,3,0,291.0,42,0.4333,,3.0
2020-09-23,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-09-24,0.1453,0.0641,2,0.0,0.0,0,0,281.0,80,0.1453,0.0641,0.0
2020-09-25,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-09-26,0.0833,0.0236,2,0.5,0.7071,2,0,274.5,80,0.0833,0.0236,2.0
2020-09-28,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-09-29,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-09-30,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-10-02,0.2004,0.1656,4,0.3333,0.4714,4,1,281.0,164,0.2004,0.1656,4.0
2020-10-03,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-10-04,0.2014,,1,0.0,,0,0,278.0,40,0.2014,,0.0
2020-10-07,0.2014,,1,0.0,,0,0,278.0,40,0.2014,,0.0
2020-10-08,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-10-09,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-10-12,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2020-10-13,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-10-15,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-10-16,0.3174,0.164,2,0.5,0.7071,3,0,289.5,82,0.3174,0.164,3.0
2020-10-17,0.2167,0.3064,2,0.5,0.7071,2,0,288.5,80,0.2167,0.3064,2.0
2020-10-19,0.2014,,1,0.0,,0,0,289.0,40,0.2014,,0.0
2020-10-20,0.2014,,1,0.0,,0,0,286.0,40,0.2014,,0.0
2020-10-22,0.4333,,1,1.0,,3,0,292.0,42,0.4333,,3.0
2020-10-27,0.2338,0.1855,3,0.4444,0.5092,4,1,285.0,126,0.2338,0.1855,4.0
2020-10-30,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-10-31,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2020-11-02,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-11-03,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2020-11-04,0.05,0.0707,2,0.0,0.0,0,0,291.0,80,0.05,0.0707,0.0
2020-11-05,0.4333,,1,1.0,,3,0,291.0,42,0.4333,,3.0
2020-11-07,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-11-08,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2020-11-10,0.3174,0.164,2,0.5,0.7071,2,0,289.0,82,0.3174,0.164,2.0
2020-11-12,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2020-11-13,0.25,0.2593,2,0.6667,0.4714,4,1,279.0,82,0.25,0.2593,4.0
2020-11-15,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2020-11-16,0.4333,,1,1.0,,3,0,292.0,42,0.4333,,3.0
2020-11-17,0.2014,,1,0.0,,0,0,288.0,40,0.2014,,0.0
2020-11-18,0.4333,,1,1.0,,3,0,291.0,42,0.4333,,3.0
2020-11-19,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2020-11-20,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2020-11-22,0.0,0.0,2,0.0,0.0,0,0,284.0,76,0.0,0.0,0.0
2020-11-25,0.1507,0.0717,2,0.0,0.0,0,0,280.5,80,0.1507,0.0717,0.0
2020-11-26,0.25,0.2593,2,0.6667,0.4714,4,1,277.5,82,0.25,0.2593,4.0
2020-11-27,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-11-28,0.2014,,1,0.0,,0,0,282.0,40,0.2014,,0.0
2020-12-01,0.1507,0.0717,2,0.0,0.0,0,0,282.5,80,0.1507,0.0717,0.0
2020-12-02,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-12-03,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2020-12-04,0.2449,0.1709,3,0.3333,0.5774,3,0,286.0,122,0.2449,0.1709,3.0
2020-12-06,0.4333,,1,1.0,,2,0,292.0,42,0.4333,,2.0
2020-12-07,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2020-12-08,0.0778,0.0192,3,0.6667,0.5774,4,0,269.6667,120,0.0778,0.0192,4.0
2020-12-09,0.1307,0.1133,3,0.0,0.0,0,0,287.3333,122,0.1307,0.1133,0.0
2020-12-12,0.2014,,1,0.0,,0,0,284.0,40,0.2014,,0.0
2020-12-15,0.2014,,1,0.0,,0,0,286.0,40,0.2014,,0.0
2020-12-18,0.05,0.0707,2,0.0,0.0,0,0,282.0,78,0.05,0.0707,0.0
2020-12-20,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2020-12-25,0.2014,,1,0.0,,0,0,295.0,42,0.2014,,0.0
2020-12-27,0.1587,0.2063,4,0.25,0.5,3,0,292.0,162,0.1587,0.2063,3.0
2020-12-28,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2020-12-29,0.0333,0.0471,2,0.5,0.7071,2,0,273.5,78,0.0333,0.0471,2.0
2020-12-30,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2021-01-02,0.05,0.0707,2,0.0,0.0,0,0,282.0,78,0.05,0.0707,0.0
2021-01-04,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-01-05,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-01-06,0.3174,0.164,2,0.1667,0.2357,2,1,287.5,82,0.3174,0.164,2.0
2021-01-11,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2021-01-13,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2021-01-14,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2021-01-16,0.05,0.0707,2,0.0,0.0,0,0,285.0,80,0.05,0.0707,0.0
2021-01-17,0.0833,0.0236,2,0.5,0.7071,2,0,274.5,82,0.0833,0.0236,2.0
2021-01-19,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2021-01-21,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-01-23,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2021-01-30,0.0222,0.0385,3,0.3333,0.5774,2,0,285.3333,120,0.0222,0.0385,2.0
2021-02-02,0.312,0.1716,2,0.5,0.7071,3,0,291.5,84,0.312,0.1716,3.0
2021-02-03,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-02-06,0.0333,0.0471,2,0.5,0.7071,2,0,278.5,82,0.0333,0.0471,2.0
2021-02-07,0.0333,0.0471,2,0.5,0.7071,2,0,284.5,80,0.0333,0.0471,2.0
2021-02-08,0.0667,0.0,2,1.0,0.0,4,0,268.0,82,0.0667,0.0,4.0
2021-02-09,0.1507,0.0717,2,0.0,0.0,0,0,284.5,82,0.1507,0.0717,0.0
2021-02-11,0.2338,0.1855,3,0.4444,0.5092,4,1,279.6667,122,0.2338,0.1855,4.0
2021-02-12,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2021-02-14,0.1507,0.0717,2,0.0,0.0,0,0,283.0,80,0.1507,0.0717,0.0
2021-02-17,0.4333,,1,1.0,,3,0,292.0,42,0.4333,,3.0
2021-02-18,0.1007,0.1424,2,0.0,0.0,0,0,289.0,80,0.1007,0.1424,0.0
2021-02-19,0.2014,,1,0.0,,0,0,282.0,40,0.2014,,0.0
2021-02-20,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2021-02-22,0.2167,0.3064,2,0.1667,0.2357,2,1,288.5,80,0.2167,0.3064,2.0
2021-02-26,0.2014,,1,0.0,,0,0,294.0,42,0.2014,,0.0
2021-02-27,0.2014,,1,0.0,,0,0,284.0,40,0.2014,,0.0
2021-03-01,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-03-02,0.3174,0.164,2,0.1667,0.2357,2,1,287.0,82,0.3174,0.164,2.0
2021-03-04,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2021-03-06,0.4333,,1,1.0,,3,0,292.0,42,0.4333,,3.0
2021-03-07,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-03-08,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2021-03-11,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2021-03-13,0.0667,,1,1.0,,2,0,268.0,42,0.0667,,2.0
2021-03-16,0.1906,,1,0.0,,0,0,291.0,42,0.1906,,0.0
2021-03-18,0.4333,,1,1.0,,2,0,292.0,42,0.4333,,2.0
2021-03-20,0.2014,,1,0.0,,0,0,286.0,40,0.2014,,0.0
2021-03-22,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2021-03-23,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2021-03-25,0.0,,1,0.0,,0,0,289.0,40,0.0,,0.0
2021-03-26,0.2167,0.3064,2,0.5,0.7071,2,0,290.5,82,0.2167,0.3064,2.0
2021-03-27,0.4333,,1,1.0,,2,0,292.0,42,0.4333,,2.0
2021-03-30,0.0894,0.1026,3,0.3333,0.5774,2,0,285.0,120,0.0894,0.1026,2.0
2021-04-04,0.1667,0.2333,3,0.6667,0.5774,5,0,279.6667,120,0.1667,0.2333,5.0
2021-04-08,0.0667,,1,1.0,,2,0,268.0,42,0.0667,,2.0
2021-04-09,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2021-04-10,0.1083,0.2167,4,0.25,0.5,2,0,291.25,160,0.1083,0.2167,2.0
2021-04-12,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-04-13,0.05,0.0707,2,0.0,0.0,0,0,291.0,80,0.05,0.0707,0.0
2021-04-15,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2021-04-16,0.2014,,1,0.0,,0,0,288.0,42,0.2014,,0.0
2021-04-17,0.1341,0.0953,2,0.5,0.7071,2,0,273.0,80,0.1341,0.0953,2.0
2021-04-19,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2021-04-20,0.2167,0.3064,2,0.1667,0.2357,2,1,289.0,80,0.2167,0.3064,2.0
2021-04-21,0.05,0.0707,2,0.0,0.0,0,0,283.0,78,0.05,0.0707,0.0
2021-04-22,0.4333,,1,1.0,,2,0,292.0,42,0.4333,,2.0
2021-04-23,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-04-25,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2021-04-26,0.2167,0.3064,2,0.5,0.7071,2,0,290.0,82,0.2167,0.3064,2.0
2021-04-27,0.2667,0.2357,2,0.5,0.7071,2,0,286.0,82,0.2667,0.2357,2.0
2021-04-28,0.3222,0.1925,3,0.6667,0.5774,5,0,287.6667,124,0.3222,0.1925,5.0
2021-04-29,0.0667,,1,1.0,,2,0,262.0,40,0.0667,,2.0
2021-05-02,0.4333,,1,1.0,,3,0,292.0,42,0.4333,,3.0
2021-05-04,0.1507,0.0717,2,0.0,0.0,0,0,283.5,80,0.1507,0.0717,0.0
2021-05-05,0.2667,0.2357,2,0.5,0.7071,2,0,286.5,82,0.2667,0.2357,2.0
2021-05-06,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2021-05-10,0.0667,,1,1.0,,2,0,268.0,42,0.0667,,2.0
2021-05-11,0.05,0.0707,2,0.0,0.0,0,0,283.0,78,0.05,0.0707,0.0
2021-05-13,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2021-05-16,0.0,0.0,2,0.0,0.0,0,0,286.0,78,0.0,0.0,0.0
2021-05-18,0.2014,,1,0.0,,0,0,286.0,40,0.2014,,0.0
2021-05-19,0.4333,,1,1.0,,2,0,291.0,42,0.4333,,2.0
2021-05-20,0.0667,,1,1.0,,2,0,268.0,40,0.0667,,2.0
2021-05-22,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-05-23,0.0667,0.0,2,1.0,0.0,4,0,265.0,80,0.0667,0.0,4.0
2021-05-24,0.1507,0.0717,2,0.0,0.0,0,0,284.0,80,0.1507,0.0717,0.0
2021-05-25,0.1507,0.0717,2,0.0,0.0,0,0,280.5,80,0.1507,0.0717,0.0
2021-05-26,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2021-05-27,0.05,0.0707,2,0.0,0.0,0,0,283.0,78,0.05,0.0707,0.0
2021-05-28,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2021-05-29,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-05-30,0.1007,0.1424,2,0.0,0.0,0,0,294.0,80,0.1007,0.1424,0.0
2021-05-31,0.1341,0.0953,2,0.5,0.7071,2,0,277.0,82,0.1341,0.0953,2.0
2021-06-01,0.0667,,1,1.0,,2,0,268.0,42,0.0667,,2.0
2021-06-02,0.4333,,1,0.3333,,2,1,293.0,42,0.4333,,2.0
2021-06-04,0.25,0.2593,2,1.0,0.0,5,0,277.0,82,0.25,0.2593,5.0
2021-06-05,0.0667,,1,1.0,,2,0,266.0,40,0.0667,,2.0
2021-06-07,0.0,,1,0.0,,0,0,301.0,40,0.0,,0.0
2021-06-08,0.3174,0.164,2,0.5,0.7071,2,0,289.5,82,0.3174,0.164,2.0
2021-06-10,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2021-06-13,0.1507,0.0717,2,0.0,0.0,0,0,280.5,80,0.1507,0.0717,0.0
2021-06-14,0.1007,0.1424,2,0.0,0.0,0,0,298.0,82,0.1007,0.1424,0.0
2021-06-15,0.2667,0.2357,2,0.5,0.7071,3,0,286.0,82,0.2667,0.2357,3.0
2021-06-17,0.2167,0.3064,2,0.1667,0.2357,2,1,287.5,80,0.2167,0.3064,2.0
2021-06-18,0.0,,1,0.0,,0,0,285.0,38,0.0,,0.0
2021-06-19,0.0667,0.0,2,1.0,0.0,4,0,266.0,80,0.0667,0.0,4.0
2021-06-21,0.2014,,1,0.0,,0,0,292.0,42,0.2014,,0.0
2021-06-22,0.4333,,1,0.3333,,2,1,292.0,42,0.4333,,2.0
2021-06-23,0.1,,1,0.0,,0,0,281.0,40,0.1,,0.0
2021-06-25,0.0,,1,0.0,,0,0,283.0,38,0.0,,0.0
2021-06-28,0.1007,0.1424,2,0.0,0.0,0,0,290.5,80,0.1007,0.1424,0.0
